datum,prvih_pet,zadnji_dve,zmagovalci,sodelujoči
26-09-2023,"23,24,38,42,44","1,10","317,071","11,384,076"
29-09-2023,"14,24,29,45,48","3,9","653,406","19,581,664"
03-10-2023,"13,28,29,31,47","8,9","406,429","12,416,011"
06-10-2023,"17,18,40,43,50","9,11","511,270","20,819,526"
10-10-2023,"7,8,12,21,43","4,11","446,601","14,083,643"
13-10-2023,"16,23,30,37,41","2,9","811,935","25,204,671"
17-10-2023,"6,8,42,49,50","3,5","355,509","11,319,466"
20-10-2023,"11,16,22,34,46","2,5","645,529","18,629,458"
24-10-2023,"5,14,35,40,47","1,3","347,297","11,922,666"
27-10-2023,"6,13,15,20,40","2,8","683,034","20,190,978"
31-10-2023,"6,15,21,34,48","1,5","409,033","13,687,165"
03-11-2023,"6,21,23,31,39","1,5","562,200","17,924,705"
07-11-2023,"26,36,43,47,49","4,7","374,466","11,600,251"
10-11-2023,"1,17,22,29,31","5,6","645,738","19,452,383"
14-11-2023,"9,30,34,38,48","2,3","390,551","12,725,606"
17-11-2023,"4,14,15,20,28","7,9","717,775","20,604,928"
21-11-2023,"9,20,21,22,38","3,12","320,455","10,779,246"
24-11-2023,"16,27,33,34,39","2,7","642,543","17,962,700"
28-11-2023,"11,12,13,23,36","3,8","481,718","11,635,220"
01-12-2023,"23,32,38,45,49","1,9","584,958","19,816,990"
05-12-2023,"6,11,16,26,49","2,9","443,797","13,038,048"
08-12-2023,"2,8,28,32,37","3,6","746,715","21,353,539"
12-12-2023,"2,8,20,34,40","9,12","396,993","14,687,756"
15-12-2023,"7,15,17,18,39","1,10","732,498","23,542,412"
19-12-2023,"4,6,17,31,45","6,12","482,173","17,056,061"
22-12-2023,"4,6,12,31,38","2,12","840,016","28,901,955"
26-12-2023,"4,13,16,22,27","1,10","545,463","17,341,385"
29-12-2023,"2,21,34,40,48","2,6","1,116,126","37,359,972"
02-01-2024,"19,26,36,48,49","10,11","795,723","29,076,501"
05-01-2024,"11,30,32,45,47","3,10","1,405,299","47,041,852"
09-01-2024,"9,12,26,41,47","7,10","1,127,995","36,421,671"
12-01-2024,"3,31,34,43,45","6,9","1,518,602","48,811,144"
16-01-2024,"6,19,32,39,42","4,9","1,302,056","38,382,853"
19-01-2024,"10,12,18,33,47","7,10","734,527","21,706,736"
23-01-2024,"9,18,20,32,39","5,8","493,458","13,635,574"
